Course Name,Course Title,Section,Schedule,Section Modality,Campus,Location,Instructor
MATH7,Calculus 1,2565,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 209,KONYA
MATH7,Calculus 1,2566,MTTh 8:15 a.m.-9:20 a.m.,Hybrid,Online,ONLINE,BENE
MATH7,Calculus 1,2566,W 8:15 a.m.-9:20 a.m.,Hybrid,Main Campus,MSB 208,BENE
MATH7,Calculus 1,2567,TTh 9 a.m.-11:25 a.m.,On Ground,Main Campus,MSB 210,SOLEYMANI
MATH7,Calculus 1,2568,TTh 9:30 a.m.-11:55 a.m.,On Ground,Main Campus,MSB 209,HARJUNO
MATH7,Calculus 1,2570,TTh 11 a.m.-1:25 p.m.,On Ground,Center for Media and Design,CMD 107,GRAVES
MATH7,Calculus 1,2571,MW 11:15 a.m.-1:40 p.m.,On Ground,Main Campus,MSB 306,BASKAUSKAS
MATH7,Calculus 1,2573,MTWTh 12:45 p.m.-1:50 p.m.,On Ground,Main Campus,MSB 201,PACHAS-FLORES
MATH7,Calculus 1,2578,MW 1:30 p.m.-3:55 p.m.,On Ground,Bundy,BUNDY 213,KAMIN
MATH7,Calculus 1,2579,MTWTh 2 p.m.-3:05 p.m.,On Ground,Main Campus,MSB 201,PACHAS-FLORES
MATH7,Calculus 1,2580,TTh 2 p.m.-4:25 p.m.,On Ground,Bundy,BUNDY 213,ENGLAND
MATH7,Calculus 1,2581,MW 2:15 p.m.-4:40 p.m.,On Ground,Main Campus,MSB 209,SMITH
MATH7,Calculus 1,2582,MW 2:30 p.m.-4:55 p.m.,On Ground,Bundy,BUNDY 217,ENGLAND
MATH7,Calculus 1,2583,ARRANGE-5.5Hours,Flexible,Online,ONLINE,PHUNG
MATH7,Calculus 1,2584,ARRANGE-5.5Hours,Flexible,Online,ONLINE,PHUA
MATH7,Calculus 1,4126,TTh 7:35 p.m.-10 p.m.,On Ground,Main Campus,MSB 205,MAN
MATH 7 AND,Calculus 1,2569,MW 10 a.m.-12:25 p.m.,On Ground,Main Campus,MSB 210,LEE
MATH 7C,Concurrent Support for Calculus 1,3306,MW 12:35 p.m.-1:25 p.m.,On Ground,Main Campus,MSB 210,LEE
MATH 7 AND,Calculus 1,2572,MW 11:15 a.m.-1:40 p.m.,On Ground,Main Campus,MSB 101,HERICHI
MATH 7C,Concurrent Support for Calculus 1,3304,MW 1:50 p.m.-2:40 p.m.,On Ground,Main Campus,MSB 101,HERICHI
MATH 7 AND,Calculus 1,2574,MW 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 205,JAHANGARD
MATH 7C,Concurrent Support for Calculus 1,3305,MW 3:20 p.m.-4:10 p.m.,On Ground,Main Campus,MSB 205,JAHANGARD
MATH 7 AND,Calculus 1,2575,TTh 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 101,HANCOCK
MATH 7C,Concurrent Support for Calculus 1,3303,TTh 3:20 p.m.-4:10 p.m.,On Ground,Main Campus,MSB 101,HANCOCK
MATH 7 AND,Calculus 1,2576,TTh 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 211,LONDON
MATH 7C,Concurrent Support for Calculus 1,3307,TTh 3:20 p.m.-4:10 p.m.,On Ground,Main Campus,MSB 211,LONDON
MATH 7 AND,Calculus 1,2577,TTh 1 p.m.-3:25 p.m.,On Ground,Main Campus,MSB 203,WANG
MATH 7C,Concurrent Support for Calculus 1,3308,TTh 3:35 p.m.-4:25 p.m.,On Ground,Main Campus,MSB 203,WANG
MATH8,Calculus 2,2585,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 206,OUELLETTE
MATH8,Calculus 2,2586,MTWTh 9:30 a.m.-10:35 a.m.,On Ground,Main Campus,MSB 303,LAI
MATH8,Calculus 2,2587,MTWTh 9:30 a.m.-10:35 a.m.,On Ground,Main Campus,MSB 206,OUELLETTE
MATH8,Calculus 2,2588,MTWTh 12:45 p.m.-1:50 p.m.,On Ground,Main Campus,MSB 209,SOLEYMANI
MATH8,Calculus 2,2589,TTh 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 208,KONYA
MATH8,Calculus 2,2590,MW 1:15 p.m.-3:40 p.m.,On Ground,Main Campus,MSB 203,WANG
MATH8,Calculus 2,2591,MW 2:15 p.m.-4:40 p.m.,On Ground,Main Campus,MSB 306,BASKAUSKAS
MATH8,Calculus 2,2592,TTh 4 p.m.-6:25 p.m.,On Ground,Main Campus,MSB 306,MAN
MATH8,Calculus 2,2593,ARRANGE-5.5Hours,Flexible,Online,ONLINE,RICHARDSON
MATH8,Calculus 2,4128,TTh 7:35 p.m.-10 p.m.,On Ground,Main Campus,MSB 209,ASKARIAN
MATH10,Discrete Structures,4129,MW 5:15 p.m.-6:35 p.m.,On Ground,Main Campus,MSB 302,PACHAS-FLORES
MATH11,Multivariable Calculus,2594,MTWTh 8:15 a.m.-9:20 a.m.,On Ground,Main Campus,MSB 101,HERICHI
MATH11,Multivariable Calculus,2595,MW 9:30 a.m.-11:55 a.m.,On Ground,Main Campus,MSB 205,SOLEYMANI
MATH11,Multivariable Calculus,2596,MW 9:30 a.m.-11:55 a.m.,On Ground,Main Campus,MSB 207,KONYA
MATH11,Multivariable Calculus,2597,M 10 a.m.-12:25 p.m.,Hybrid,Online,ONLINE,BENE
MATH11,Multivariable Calculus,2597,W 10 a.m.-12:25 p.m.,Hybrid,Main Campus,MSB 208,BENE
MATH11,Multivariable Calculus,2598,MW 12:45 p.m.-3:10 p.m.,On Ground,Main Campus,MSB 206,LAI
MATH13,Linear Algebra,2599,MW 9:30 a.m.-10:50 a.m.,On Ground,Main Campus,MSB 101,HERICHI
MATH13,Linear Algebra,2600,TTh 9:30 a.m.-10:50 a.m.,On Ground,Main Campus,MSB 101,HERICHI
MATH13,Linear Algebra,4130,MW 5:15 p.m.-6:35 p.m.,On Ground,Main Campus,MSB 205,JAHANGARD
MATH13,Linear Algebra,4131,MW 7:35 p.m.-8:55 p.m.,On Ground,Main Campus,MSB 209,ASKARIAN
MATH15,Ordinary Differential Equations,2601,MW 12:45 p.m.-2:05 p.m.,On Ground,Main Campus,MSB 303,OUELLETTE
MATH15,Ordinary Differential Equations,2602,TTh 12:45 p.m.-2:05 p.m.,On Ground,Main Campus,MSB 205,OUELLETTE
MATH15,Ordinary Differential Equations,4132,TTh 5:15 p.m.-6:35 p.m.,On Ground,Main Campus,MSB 211,PACHAS-FLORES
