CLASS,TERM,INSTRUCTOR,A,B,C,D,F,P,NP,IX,EW,W,TOTAL,,,,,
MATH4,FALL24,PHUNG Q T, ,1,2,1,3,2,2, ,7,11,29,,,,,
MATH4,FALL24,TSVIKYAN A,11,8,5, ,2, ,2, ,11,5,44,,,,,
MATH4,FALL24,LOPEZ MA, ,1,2,1,1, ,3, ,12,8,28,,,,,
MATH4,FALL24,BENE A J,4,1,3,1,5,1, ,1,9,11,36,,,,,
MATH4,FALL24,PHUNG Q T,3,3,2, ,2,3,1, ,8,8,30,,,,,
MATH4,FALL24,LOPEZ MA,1, , ,1,4, ,2, ,12,8,28,,,,,
MATH7,FALL24,HONG A M, ,1, ,1,6, ,2, ,1,10,21,,,,,
MATH7,FALL24,GRAVES L P, ,2,5,1,7, , , ,9,13,37,,,,,
MATH7,FALL24,OUELLETTE K R,4,6,3, , , ,2, ,14,1,30,,,,,
MATH7,FALL24,KONYA W,4,5,1, ,6, ,4, ,9,13,42,,,,,
MATH7,FALL24,BENE A J,1,2,2, ,6, ,2, ,8,15,36,,,,,
MATH7,FALL24,SOLEYMANI S,11,3,4,1,2, ,6,1,18,4,50,,,,,
MATH7,FALL24,LAI I,9,6,6, ,4, ,5, ,11,4,45,,,,,
MATH7,FALL24,FANELLI D,9,4,1,1,3, ,2, ,7,6,33,,,,,
MATH7,FALL24,WANG J D,4,4,2,2,4, ,6,1,4,7,34,,,,,
MATH7,FALL24,GRAVES L P,6,3,4,1,5, ,4, ,6,8,37,,,,,
MATH7,FALL24,BASKAUSKAS V A,10,7,6,1,4, ,4, ,5,2,39,,,,,
MATH7,FALL24,PACHAS,1,1,1, ,4,1,3, ,7,18,36,,,,,
MATH7,FALL24,OUELLETTE K R,3,4,8,2,11, ,2, ,11,,41,,,,,
MATH7,FALL24,KAMIN G,4,8,1, ,3,1,2, ,8,14,41,,,,,
MATH7,FALL24,PACHAS-FLORES W,5,1,1,1,1, ,6, ,11,10,36,,,,,
MATH7,FALL24,WANG J D,4,2,1, ,1, ,2, ,3,2,15,,,,,
MATH7,FALL24,KAMIN G,7,4,3,1,3,2, , ,14,8,42,,,,,
MATH7,FALL24,SMITH S P,7,7,3,2,1, ,4, ,13,7,44,,,,,
MATH7,FALL24,NESTLER A E, , ,1,1,3, ,3, ,9,7,24,,,,,
MATH7,FALL24,CHENG T T,6,5,3,3,8, ,3, ,7,6,41,,,,,
MATH7,FALL24,SOURY S,3,4,1, ,4, ,6, ,9,7,34,,,,,
MATH7,FALL24,NESTLER A E, , , , ,1, , , ,12,15,28,,,,,
MATH8,FALL24,BENE A J,10,3,3,1,6, ,1, ,5,9,38,,,,,
MATH8,FALL24,LAI I,10,5,6,1,2, ,7, ,8,3,42,,,,,
MATH8,FALL24,KONYA W,3,9,2,4,2, ,1, ,3,9,33,,,,,
MATH8,FALL24,WANG J D,5,1,5, ,2, ,3, ,4,8,28,,,,,
MATH8,FALL24,BASKAUSKAS V A,7,12,3,5,3,1,3, ,7,3,44,,,,,
MATH8,FALL24,NESTLER A E,2,1, ,1,3, ,1, ,3,11,22,,,,,
MATH8,FALL24,MAN S,7,10,6,4,1, ,3, ,2,3,36,,,,,
MATH8,FALL24,SOLEYMANI S,8,6,7,2,3, ,4,1,12,4,47,,,,,
MATH8,FALL24,EMERSON A J,1,3, ,2,2,1,1, ,6,9,25,,,,,
MATH8,FALL24,ASKARIAN S N,10,8,2,4,2,2,2, ,8,3,41,,,,,
MATH10,FALL24,PACHASFLORES W,3,2,1, ,3,1,5, ,5,8,28,,,,,
MATH11,FALL24,HERICHI H,6,13,4,1,6,1,5, ,5,1,42,,,,,
MATH11,FALL24,SOLEYMANI S,8,13,2,7,4,1,2, ,3,,40,,,,,
MATH11,FALL24,LAI I,20,8,3,1,3, ,5, ,6,1,47,,,,,
MATH11,FALL24,RICHARDSON A,4,8,8,2,2,1,1, ,6,1,33,,,,,
MATH13,FALL24,HERICHI H,12,9,1,3,2, ,2, ,5,3,37,,,,,
MATH13,FALL24,EDINGER G C,5,6,3,2,3, ,1, ,7,6,33,,,,,
MATH13,FALL24,ASKARIAN S N,7,3,1,2, , ,2, ,9,4,28,,,,,
MATH15,FALL24,HERICHI H,11,9,5,1,2, ,1, ,5,1,35,,,,,
MATH15,FALL24,PACHAS-FLORES W,4,4,2,3,9, ,3, ,3,3,31,,,,,
MATH21,FALL24,EMERSON A J,2, ,1,1,1, ,2, ,6,13,26,,,,,
MATH21,FALL24,MAKNOUNI M,2,1,1,1,4,2, , ,6,4,21,,,,,
MATH21,FALL24,ROSS K R,9,12,5,2,4, ,5, ,3,2,42,,,,,
MATH21,FALL24,LEE P H,1,1, , ,5, ,2, ,1,12,22,,,,,
MATH21,FALL24,SIMO A L,9,6,4,5,1, ,2, ,2,3,32,,,,,
MATH21,FALL24,KIM J J,8,3,4,1,6, ,2, ,4,6,34,,,,,
MATH21,FALL24,LEE P H,1,3, , ,11, ,2, ,9,5,31,,,,,
MATH21,FALL24,MAKNOUNI M,3,2,1, ,7,2, ,1,1,5,22,,,,,
MATH21,FALL24,BRONIE B L,3, ,3,7,2,1, , ,5,5,26,,,,,
MATH21,FALL24,BRONIE B L,1, ,2,7,9, , ,1,6,2,28,,,,,
MATH21,FALL24,MAN S,5,6,6,1,5, , , ,10,7,40,,,,,
MATH28,FALL24,SMITH S P,9,4,7,1,6,2,3, ,9,9,50,,,,,
MATH28,FALL24,SIMHAN S V,10,2,4,2,3, ,2, ,12,7,42,,,,,
MATH28,FALL24,CHITGAR M H,6,10,12,1,1,1, , ,10,4,45,,,,,
MATH54,FALL24,BAYSSA B T,5,6,8, ,7, , , ,8,9,43,,,,,
MATH54,FALL24,RAHNAVARD M H,1,3,4,2,2, , , ,5,5,22,,,,,
MATH54,FALL24,TU W,3,4,2,2,3,1,1, ,5,12,33,,,,,
MATH54,FALL24,KIM J J,6,5,6,1,4, ,1, ,6,8,37,,,,,
MATH54,FALL24,GHARAMANIANS J,6,5,5,3,4,1,2,1,7,8,42,,,,,
MATH54,FALL24,XIE M C,4,4,1,2,7, , , ,6,15,39,,,,,
MATH54,FALL24,VENDLINSKI T P,11,7, , ,3, ,2, ,2,1,26,,,,,
MATH54,FALL24,PHUA N,2,3,5, ,17, ,3, ,4,2,36,,,,,
MATH54,FALL24,BAYSSA B T,11,3,4,2,6, ,2, ,3,2,33,,,,,
MATH54,FALL24,FOSTER M, ,2,2,6,7,1,5, ,3,5,31,,,,,
MATH54,FALL24,GIZAW A,3,7,13,1,3, , , ,8,4,39,,,,,
MATH54,FALL24,DABAGH SA M,8,7,18,3,7, ,1, ,3,1,48,,,,,
MATH54,FALL24,PEREZ R E,31,4,2,3,2, , , ,2,1,45,,,,,
MATH54,FALL24,HUANG C Y,22,10,9, ,1, ,2,1, ,1,46,,,,,
MATH54,FALL24,DABAGH SA M,3,6,10,2,8, , ,1,3,,33,,,,,
MATH54,FALL24,LOPEZ J E,7,6,5,5,3, ,2,2,2,3,35,,,,,
MATH54,FALL24,SIMO A L,7,5,6,4,3, ,3, ,3,2,33,,,,,
